,model,feature_group,feature,imp_mean,imp_std
0,MLPRegressor,all,dist,304.2288112941593,49.35648249636709
1,MLPRegressor,all,metro_dist,121.15909144405433,39.4400911763249
2,MLPRegressor,all,rest_index,83.51920239469715,12.426180438596628
3,MLPRegressor,all,person_capacity,2.962804240243389,1.1809026321407337
4,MLPRegressor,all,biz,2.615976970010684,0.7866808060060162
5,MLPRegressor,all,room_private,2.031649240669661,0.3570899060422311
6,MLPRegressor,all,lat,0.1700399916407579,0.07819636235492643
7,MLPRegressor,all,cleanliness_rating,0.05046358352175877,0.0055100149571139885
8,MLPRegressor,all,host_is_superhost,0.025011515149946106,0.006175731257807469
9,MLPRegressor,all,multi,0.023115388440331362,0.00783386451016954
10,MLPRegressor,spatial,dist,4.710709153110036,0.2215395650128357
11,MLPRegressor,spatial,attr_index,1.473141428189628,0.08678443714792135
12,MLPRegressor,spatial,rest_index,1.4714768885980167,0.09920497958099599
13,MLPRegressor,spatial,lng,0.6956768979933377,0.06357541876885307
14,MLPRegressor,spatial,lat,0.21104905706734342,0.01611312689815912
15,MLPRegressor,spatial,metro_dist,0.17769960593082687,0.03201079678784061
16,MLPRegressor,quality,cleanliness_rating,0.079931554221276,0.005343980363417548
17,MLPRegressor,quality,guest_satisfaction_overall,0.04695571606232955,0.01470340819728412
18,MLPRegressor,basic,entire_home_apt,0.7389879871178502,0.12475543040873184
19,MLPRegressor,basic,room_private,0.7021234129459148,0.06517428116135977
20,MLPRegressor,basic,person_capacity,0.2819641312761935,0.027947253243992897
21,MLPRegressor,basic,bedrooms,0.20193193248093388,0.018766302861876773
22,MLPRegressor,basic,host_is_superhost,0.08454656337362335,0.013534203429153378
23,MLPRegressor,spatial+basic,dist,71.13392604428833,11.705951439847441
24,MLPRegressor,spatial+basic,lng,26.339902634820838,9.74181491304187
25,MLPRegressor,spatial+basic,rest_index,23.486090276928486,0.891298329747747
26,MLPRegressor,spatial+basic,entire_home_apt,5.07623992435204,2.3370093375206893
27,MLPRegressor,spatial+basic,room_private,1.8329039739716684,0.7962702328860968
28,MLPRegressor,quality+basic,entire_home_apt,1.0493511768583752,0.2217093692560911
29,MLPRegressor,quality+basic,room_private,0.2794445148578009,0.0584309658905675
30,MLPRegressor,quality+basic,person_capacity,0.2307867369676166,0.01415087480790058
31,MLPRegressor,quality+basic,bedrooms,0.1799437432723086,0.055824233277608645
32,MLPRegressor,quality+basic,guest_satisfaction_overall,0.13933684069517419,0.04997131357335855
33,MLPRegressor,quality+basic,host_is_superhost,0.08920818825863767,0.029740955352074286
34,MLPRegressor,quality+basic,cleanliness_rating,0.06825771427349343,0.012770477260563988
0,KNeighborsRegressor,all,bedrooms,0.25672825031165614,0.019155396749493743
1,KNeighborsRegressor,all,person_capacity,0.18672688459597367,0.01936939783119771
2,KNeighborsRegressor,all,metro_dist,0.10177790745825792,0.012853863657498648
3,KNeighborsRegressor,all,lng,0.1014217003102528,0.023202490592309385
4,KNeighborsRegressor,all,guest_satisfaction_overall,0.10068440945256762,0.013667006906397753
5,KNeighborsRegressor,all,cleanliness_rating,0.08841035183680472,0.009485396141224149
6,KNeighborsRegressor,all,lat,0.08508063403521052,0.013082807551515516
7,KNeighborsRegressor,all,biz,0.08251453761668615,0.016410470429957847
8,KNeighborsRegressor,all,host_is_superhost,0.051790391633169695,0.01128067105347779
9,KNeighborsRegressor,all,attr_index,0.05100564207859859,0.009496586048792463
10,KNeighborsRegressor,all,room_private,0.04654541493749283,0.004528703998671844
11,KNeighborsRegressor,all,entire_home_apt,0.0465454149374928,0.004528703998671823
12,KNeighborsRegressor,all,rest_index,0.04573252654339939,0.013889416726897317
13,KNeighborsRegressor,all,multi,0.04497499675969243,0.014825213617743192
14,KNeighborsRegressor,all,dist,0.0440391710913375,0.007880468878857846
15,KNeighborsRegressor,spatial,lng,0.46749584023536955,0.010984211837833354
16,KNeighborsRegressor,spatial,dist,0.4660916941466384,0.002984973637066949
17,KNeighborsRegressor,spatial,lat,0.45327078294344475,0.002527306400231707
18,KNeighborsRegressor,spatial,attr_index,0.4453645308394297,0.012009558587128077
19,KNeighborsRegressor,spatial,rest_index,0.44398824073666737,0.006268388541211158
20,KNeighborsRegressor,spatial,metro_dist,0.4360604111468199,0.012182885494516807
21,KNeighborsRegressor,quality,cleanliness_rating,0.06058440256471516,0.014814448636137251
22,KNeighborsRegressor,quality,guest_satisfaction_overall,0.03996115354849892,0.011755729361432526
23,KNeighborsRegressor,basic,bedrooms,0.23942154592664155,0.03372913810783737
24,KNeighborsRegressor,basic,person_capacity,0.21896343874538812,0.021586219489922828
25,KNeighborsRegressor,basic,host_is_superhost,0.1433124507831121,0.046416879873383395
26,KNeighborsRegressor,basic,room_private,0.05602592563188098,0.013155778704611943
